GROUP,GROUP_TYPE,SUBJ,NUMB,SEQ,TITLE
Lower-Division Core,all,MATH,253,,Calculus III
Lower-Division Core,all,MATH,281,,Several-Variab Calc I
Lower-Division Core,all,MATH,282,,Several-Variab Calc II
Upper-Division Core,all,MATH,341,,Elem Linear Algebra
Upper-Division Core,all,MATH,342,,Elem Linear Algebra
Upper-Division Core,all,MATH,343,,Statistic Models & Mth
